ID,ESTADO,MUNICIPIO,LOCALIDAD,AGEB,PERSONAS,P1_1,P1_2,P1_3,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P2_7,P2_8,P2_9,P2_10,P2_11,P2_12,P2_13,P2_14,P2_15,P2_16,P2_17,P2_18,P2_19,P2_20,P2_21,P2_22,P2_23,P2_24,P2_25,P3_1,P3_2,P3_3,P4,P5_1,P5_2,P5_3,P6_1,P6_1_1,P6_2,P6_1_2,P6_3,P6_1_3,P6_4,P6_1_4,P6_5,P6_1_5,P6_6,P6_1_6,P6_7,P6_1_7,P6_8,P6_1_8,P6_9,P6_1_9,P6_10,P6_1_10,P6_11,P6_1_11,P6_12,P6_1_12,P6_13,P6_1_13,P6_14,P6_1_14,P6_15,P6_1_15,P6_16,P6_1_16,P6_17,P6_1_17,P6_18,P6_1_18,P6_19,P6_1_19,P7_1,P7_2,P7_3,P8_1,P8_1_1,P8_2,P8_1_2,P8_3,P8_1_3,P8_4,P8_1_4,P8_5,P8_1_5,P8_6,P8_1_6,P8_7,P8_1_7,P8_8,P8_1_8,P8_9,P8_1_9,P8_10,P8_1_10,P8_11,P8_1_11,P8_12,P8_1_12,P8_13,P8_1_13,P8_14,P8_1_14,P9,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P10_9,P10_10,P10_11,P10_12,P10_13,P11_1,P11_2,P11_3,P12_1,P12_2,P12_3,P13,P14,P15_1,P15_2,P15_3,P15_4,P15_5,P16,P16_1,P17,P17_1,P18_1,P18_1_1,P18_2,P18_1_2,P18_3,P18_1_3,P18_4,P18_1_4,P18_5,P18_1_5,P18_6,P18_1_6,P18_7,P18_1_7,P18_8,P18_1_8,P18_9,P18_1_9,P18_10,P18_1_10,P18_11,P18_1_11,P18_12,P18_1_12,P18_13,P18_1_13,P18_14,P18_1_14,P18_15,P18_1_15,P18_16,P18_1_16,P18_17,P18_1_17,P18_18,P18_1_18,P19,P20,P21,P22_1,P22_2,P22_3,P23_1,P23_2,P23_3,P24,P25,P26_1,P26_2,P27,P28,P29,P30,P31,P32,P33,P34,P35_1,P35_2,P35_3,P36,P37,P38_1,P38_2,P38_3,P39_1_NIV,P39_1_ANO,P39_2_NIV,P39_2_ANO,P40_1,P40_2,P41,P42,P42_1,P42_1a_1,P43,P44,P45,P46,P47,P48,P48_1,P48_2,P49,S1,S2,S3_NIV,S3_ANO,S4,S5,S6,S6_1,S7,S8,S9,S10,S11,SEXO,EDAD_AGRUP,ESCOLARIDAD,EDO_CIVIL,COND_ACT,ING_FAM,REGIÓN,PONDI1,PONDV1
1,09,004,0001,0369,3,PINTURA,LECTURA,EDUCACION,7,5,3,7,7,8,7,7,8,3,4,5,5,5,7,6,7,5,0,6,7,9,10,8,5,1,8,5,3,1,7,9,2,#¡NULO!,1,2,1,4,1,1,1,1,1,1,1,1,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,1,1,1,1,2,#¡NULO!,2,#¡NULO!,1,3,2,#¡NULO!,1,2,1,1,22,21,14,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,4,2,#¡NULO!,1,4,1,4,2,1,2,1,2,2,1,1,1,1,1,1,1,1,4,1,5,CONOCIMIENTO,ENTENDIMIENTO,INFORMACION,1,3,2,3,3,2,2,1,90,1,3,1,1,1,1,2,#¡NULO!,1,3,1,2,1,2,2,#¡NULO!,1,2,1,1,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,2,1,2,1,1,1,1,6,3,1,4,5,1,ENTRETENIMIENTO,FISICO,SALUDABLE,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,2,1,68,6,4,7,7,3,1,3,1,1,2,5,9,6,7,3,3,3,2,3,#¡NULO!,#¡NULO!,2,2,2,2,6,2,#¡NULO!,#¡NULO!,10,2,68,8,6,2,4,1,3,8,#¡NULO!,#¡NULO!,#¡NULO!,98,2,6,5,2,2,98,Poniente,9314.25,3033.72
2,09,004,0001,0369,4,ESTUDIOS PROFESIONALES,ARTE,ANTEPASADOS,6,7,8,7,7,8,9,6,7,8,7,6,7,7,5,5,7,9,7,9,6,6,10,10,10,2,10,8,2,5,7,8,1,3,1,5,1,2,1,3,1,2,1,3,1,4,1,3,1,3,1,2,1,4,1,2,1,1,1,1,1,1,1,2,2,#¡NULO!,1,2,1,4,14,21,20,1,3,1,2,1,2,1,3,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,4,2,#¡NULO!,2,#¡NULO!,1,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,ENTRETENIMIENTO,CONOCIMIENTOS,INFORMACION,1,3,2,2,2,2,2,1,100,1,4,1,2,1,2,1,1,1,1,1,2,1,2,2,#¡NULO!,1,1,1,1,1,2,1,1,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,1,2,7,4,1,3,1,6,ESTAR EN FORMA,SALUDABLE,ATLETAS,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,2,5,60,3,2,4,7,3,1,3,3,2,5,1,9,5,9,4,3,3,2,3,#¡NULO!,#¡NULO!,2,2,2,5,4,2,#¡NULO!,#¡NULO!,11,2,22,8,4,1,6,2,#¡NULO!,7,#¡NULO!,#¡NULO!,#¡NULO!,98,2,1,5,3,2,98,Poniente,9311.54,3033.72
3,09,014,0001,005A,7,PROFESIONES,PREHISTORIA,TEATRO,6,5,5,7,7,7,9,8,7,6,6,7,5,5,7,8,7,6,5,9,7,7,8,9,10,3,1,10,2,7,5,9,1,1,1,6,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,2,#¡NULO!,1,4,1,1,1,1,1,1,1,2,2,#¡NULO!,1,2,1,1,21,1,18,2,#¡NULO!,1,1,1,1,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,4,1,4,2,1,2,1,1,98,1,1,98,1,1,1,1,1,4,6,1,INFORMACION,CONOCIMIENTO,PREPARACION,1,3,2,3,3,2,2,1,50,1,3,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,2,1,3,1,2,1,1,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,2,1,1,7,4,1,4,6,3,CAMPOS DEPORTIVOS,FISICULTURISMO,GIMNASIA,2,1,5,2,2,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,4,7,1,3,3,5,3,1,9,6,7,3,3,3,2,3,#¡NULO!,#¡NULO!,2,2,2,4,5,2,#¡NULO!,#¡NULO!,4,1,59,9,3,2,5,1,3,1,1,7,98,98,1,5,5,1,1,98,Centro,12976.12,3285.58
4,09,008,0001,057A,4,ARTES,DANZA,MUSICA,7,8,9,9,7,7,8,8,9,7,7,8,7,8,6,6,8,8,5,8,7,7,9,9,9,10,3,8,1,7,2,5,2,#¡NULO!,1,3,1,6,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,22,21,1,1,2,2,#¡NULO!,1,1,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,4,1,4,3,1,2,1,2,2,2,1,2,1,1,1,1,2,5,6,#¡NULO!,ARBOLES,SUE?OS,CUENTOS,1,2,1,2,2,3,3,1,50,1,2,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,3,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,9,3,10,2,5,6,MUSCULOS,APARATOS PARA AHACER EJERCICIO,PISTA DE CORRER,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,2,4,60,2,2,5,7,6,2,2,98,3,#¡NULO!,#¡NULO!,6,3,7,3,6,6,1,3,#¡NULO!,#¡NULO!,2,2,2,5,5,2,#¡NULO!,#¡NULO!,6,2,50,4,3,2,4,1,3,1,5,2,5,5,2,4,3,2,1,5,Poniente,5068.94,1149.94
5,09,008,0001,057A,5,APRENDIZAJE,NUESTRA HISTORIA,COSTUMBRES,4,6,8,8,7,5,6,7,5,4,4,6,7,5,4,2,7,7,4,6,2,7,9,10,7,2,8,10,2,5,6,1,1,1,1,4,1,6,1,1,1,2,1,1,1,2,1,4,1,2,1,1,1,2,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,4,2,#¡NULO!,1,1,1,2,14,8,20,1,2,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,1,2,1,4,2,2,2,1,1,2,1,1,2,1,1,2,2,1,4,2,6,CONOCIMIENTOS,SABIDURIA,SUPERACION,1,2,3,4,4,3,3,1,10,2,#¡NULO!,1,1,1,1,2,#¡NULO!,1,1,1,1,1,3,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,1,2,#¡NULO!,1,1,1,3,1,2,1,2,1,2,2,#¡NULO!,1,2,7,4,1,4,6,2,SALUD,ENTRETENIMIENTO,EJERCICIO,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,2,3,60,6,2,3,7,#¡NULO!,#¡NULO!,2,3,3,1,5,7,3,5,3,4,6,1,3,#¡NULO!,#¡NULO!,2,2,2,3,5,2,#¡NULO!,#¡NULO!,11,2,20,8,1,1,6,2,#¡NULO!,7,#¡NULO!,#¡NULO!,#¡NULO!,5,2,1,5,3,2,5,Poniente,4411.97,1149.94
6,09,010,0001,0351,3,CONOCIMIENTO,LITERATURA,ARTE,2,3,8,9,7,8,5,9,6,7,8,9,7,8,3,2,7,6,2,5,7,5,10,10,10,3,1,10,2,5,6,9,1,2,1,4,1,5,1,3,1,4,1,2,1,2,1,4,1,1,1,2,1,4,1,2,2,#¡NULO!,1,2,2,#¡NULO!,1,3,2,#¡NULO!,1,2,1,4,20,9,21,1,2,2,#¡NULO!,1,2,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,1,1,2,#¡NULO!,1,2,1,4,2,1,1,1,2,1,1,1,2,1,1,1,1,1,4,6,2,LETRAS,LIBROS,CONOCIMIENTO,1,3,3,4,4,3,3,1,100,1,70,1,2,1,2,2,#¡NULO!,2,#¡NULO!,1,1,1,3,2,#¡NULO!,1,1,2,#¡NULO!,1,1,1,1,1,1,2,#¡NULO!,1,1,1,1,1,1,1,1,1,2,8,4,1,2,6,3,EJERCICIO,SALUD,FISICO AGRADABLE,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,2,3,45,6,2,2,7,3,#¡NULO!,2,3,3,1,5,4,3,4,3,6,10,1,3,#¡NULO!,#¡NULO!,2,2,2,4,5,2,#¡NULO!,#¡NULO!,5,2,45,9,2,2,3,1,2,1,1,7,98,98,2,4,5,2,1,98,Poniente,8120.35,2456.25
7,09,014,0001,0134,3,ESTUDIOS,PINTURAAS,BAILES,5,5,6,6,6,8,8,7,6,5,5,6,6,7,7,8,8,7,6,7,8,7,9,10,10,2,10,1,2,5,7,9,1,2,1,4,1,2,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,#¡NULO!,1,3,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,1,2,1,1,20,2,21,2,#¡NULO!,1,2,1,2,1,2,2,#¡NULO!,1,4,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,1,2,#¡NULO!,1,2,1,4,1,1,2,1,1,2,1,1,2,1,1,1,1,1,4,1,6,CONOCIMIENTO,ENTRETENIMIENTO,PROFECIONES,1,3,2,4,3,2,2,1,50,1,5,1,1,1,1,2,#¡NULO!,1,3,1,2,1,2,2,#¡NULO!,1,2,1,2,1,2,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,2,7,4,1,4,6,1,CAMPOS,EXCULTURISMO,SALUD,2,2,2,5,2,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,1,7,3,2,3,2,5,1,9,6,7,3,3,3,2,3,#¡NULO!,#¡NULO!,2,2,2,4,6,2,#¡NULO!,#¡NULO!,4,2,55,9,3,2,3,1,2,4,2,3,98,98,2,5,5,2,1,98,Centro,12746.18,3288.73
8,09,008,0001,057A,3,APRENDIZAJE,CONOCIMIENTOS,ESTUDIOS,2,1,7,7,6,8,8,5,9,5,5,8,5,4,0,0,7,8,3,4,3,5,10,10,10,2,10,8,2,5,7,8,2,#¡NULO!,1,4,1,2,2,#¡NULO!,1,2,1,1,1,1,1,4,1,1,1,1,1,2,1,3,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,3,2,#¡NULO!,1,1,1,2,2,17,9,1,2,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,1,2,#¡NULO!,1,2,1,4,2,2,2,2,2,2,2,1,2,1,1,2,1,1,6,2,4,CONOCIMIENTOS,VIAJAR CON LA MEN,CULTIVARSE,98,2,3,4,4,4,3,1,50,1,25,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,1,1,2,1,2,1,1,1,2,9,4,1,2,4,6,SALUD,ENTRETENIMIENTO,CONVIVIR,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,1,5,90,1,1,4,7,3,#¡NULO!,2,3,3,1,5,3,6,3,6,6,10,1,3,#¡NULO!,#¡NULO!,2,2,2,5,2,2,#¡NULO!,#¡NULO!,4,1,30,8,2,2,6,2,#¡NULO!,1,4,3,3,4,1,2,5,3,1,4,Poniente,4669.12,1149.94
9,09,003,0001,0785,3,APRENDIZAJE,TRADICIONES,,8,7,2,4,4,2,6,7,5,0,0,5,0,3,7,6,6,7,0,2,0,7,8,7,4,5,9,#¡NULO!,3,7,1,#¡NULO!,2,#¡NULO!,1,2,1,6,1,1,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,3,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,4,2,#¡NULO!,1,2,2,#¡NULO!,14,21,22,2,#¡NULO!,1,1,1,1,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,4,2,2,2,1,2,2,2,1,2,1,1,1,2,1,5,2,#¡NULO!,BIBLIOTECA,ESCUELA,ENTRENAMIENTO,1,2,3,4,4,4,3,1,20,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,3,1,2,2,#¡NULO!,2,#¡NULO!,1,3,1,3,1,2,2,#¡NULO!,1,2,3,3,6,4,#¡NULO!,#¡NULO!,EJERCICIO,PARQUE,,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,2,5,45,1,1,8,3,7,#¡NULO!,2,3,1,5,2,3,5,3,2,4,10,1,3,#¡NULO!,#¡NULO!,2,2,2,6,3,2,#¡NULO!,#¡NULO!,10,2,35,4,3,2,1,1,2,8,#¡NULO!,#¡NULO!,#¡NULO!,2,2,3,3,1,2,2,Centro,4598.57,2115.63
10,09,003,0001,0785,5,ARTESANIAS,TRADICIONES,ESCUELAS,5,7,5,5,5,4,7,7,8,4,3,2,0,2,6,7,8,9,2,6,0,6,7,7,5,3,7,5,2,7,3,9,2,#¡NULO!,1,4,1,2,1,2,1,4,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,6,1,2,2,#¡NULO!,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,3,2,#¡NULO!,1,2,1,1,17,21,8,1,2,2,#¡NULO!,1,1,1,1,2,#¡NULO!,1,1,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,1,4,2,2,2,1,2,2,1,1,2,1,1,2,1,1,6,2,4,ESCUELA,BIBLIOTECAS,LIBROS,1,1,3,4,4,3,3,1,50,2,#¡NULO!,2,#¡NULO!,1,98,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,2,#¡NULO!,1,2,2,#¡NULO!,1,2,5,3,9,2,3,#¡NULO!,CAMPOS,PARQUE,SALUD,2,1,5,2,2,1,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,#¡NULO!,3,#¡NULO!,#¡NULO!,2,1,3,1,5,3,5,3,6,4,10,1,3,#¡NULO!,#¡NULO!,2,2,2,2,5,2,#¡NULO!,#¡NULO!,6,1,59,5,2,2,5,1,3,1,6,5,3,2,1,5,4,1,1,2,Centro,5968.21,2115.63
